Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2024,03/10,PAC 12 Championships,133,W,MD,16 - 4,Dominic LaJoie,49112,11 - 10,Stanford,Zeth Romney,73191
2024,03/10,PAC 12 Championships,133,L,DEC,4 - 2,Julian Chlebove,56769,19 - 10,Arizona State,Zeth Romney,73191
2024,02/03,Cal Poly - Little Rock Dual,133,L,DEC,7 - 1,Nasir Bailey,79029,29 - 4,Little Rock,Zeth Romney,73191
2024,01/21,CSU Bakersfield - Cal Poly Dual,133,W,FALL,1:47,Santino Sanchez,79001,6 - 17,CSU Bakersfield,Zeth Romney,73191
2024,01/19,Cal Poly - Oregon State Dual,133,W,DEC,7 - 2,Gabe Whisenhunt,67729,10 - 11,Oregon State,Zeth Romney,73191
2024,01/14,Air Force - Cal Poly Dual,133,W,TF5,17 - 1 6:47,Robert Wright,81230,4 - 12,Air Force,Zeth Romney,73191
2024,01/12,Northern Colorado - Cal Poly Dual,133,W,SV-1,4 - 1,Dominick Serrano,61120,23 - 6,Northern Colorado,Zeth Romney,73191
2024,01/12,American - Cal Poly Dual,133,W,FALL,0:24,Maximillian Leete,72678,17 - 13,American,Zeth Romney,73191
2024,12/29,Midlands Championships,133,W,MD,10 - 1,Mason Leiphart,73193,22 - 11,Franklin & Marshall,Zeth Romney,73191
2024,12/29,Midlands Championships,133,W,DEC,8 - 1,Alex Almeyda,72982,9 - 2,Pennsylvania,Zeth Romney,73191
2024,12/29,Midlands Championships,133,W,DEC,3 - 2,Sam Latona,56742,20 - 9,Virginia Tech,Zeth Romney,73191
2024,12/29,Midlands Championships,133,W,MD,16 - 3,Michael Colaiocco,56733,16 - 12,Pennsylvania,Zeth Romney,73191
2024,12/29,Midlands Championships,133,L,DEC,8 - 5,Dylan Shawver,61767,26 - 7,Rutgers,Zeth Romney,73191
2024,12/29,Midlands Championships,133,W,DEC,7 - 5,Gable Porter,78748,10 - 4,Virginia,Zeth Romney,73191
2024,12/01,Cliff Keen Invitational,133,W,DEC,10 - 4,Jacob Van Dee,73557,23 - 10,Nebraska,Zeth Romney,73191
2024,12/01,Cliff Keen Invitational,133,L,TF5,24 - 6 7:00,Nic Bouzakis,73468,23 - 11,Ohio State,Zeth Romney,73191
2024,12/01,Cliff Keen Invitational,133,L,MD,16 - 3,Evan Frost,72948,22 - 7,Iowa State,Zeth Romney,73191
2024,12/01,Cliff Keen Invitational,133,W,DEC,11 - 4,Haiden Drury,64645,16 - 10,Utah Valley,Zeth Romney,73191
2024,11/11,Tiger Style Invite,133,W,TF5,22 - 0 3:44,Brandon Eusebio,84947,1 - 6,Lindenwood,Zeth Romney,73191
2024,11/11,Tiger Style Invite,133,W,FALL,2:59,Brandon Eusebio,84947,1 - 6,Lindenwood,Zeth Romney,73191
2024,11/11,Tiger Style Invite,133,L,DEC,11 - 10,Zeke Seltzer,72572,7 - 9,Missouri,Zeth Romney,73191
2024,11/11,Tiger Style Invite,133,W,TF5,19 - 3 6:13,Joshua Sarpy,65932,6 - 7,Little Rock,Zeth Romney,73191
2024,11/11,Tiger Style Invite,133,W,MD,13 - 3,Joshua Sarpy,65932,6 - 7,Little Rock,Zeth Romney,73191
2024,11/03,Rutgers - Cal Poly Dual,133,L,DEC,9 - 3,Dylan Shawver,61767,26 - 7,Rutgers,Zeth Romney,73191
2024,11/03,Duke - Cal Poly Dual,133,W,TF5,19 - 3 5:14,Raymond Adams,84586,5 - 20,Duke,Zeth Romney,73191
2023,12/19,Collegiate Duals ECM,141,W,DEC,6 - 3,Zackery Zeamer,57141,11 - 13,Lock Haven,Zeth Romney,73191
2023,11/12,Tiger Style Invite,141,L,MD,15 - 6,Brennan Van Hoecke,74571,5 - 7,Little Rock,Zeth Romney,73191
2023,11/12,Tiger Style Invite,141,W,DEC,9 - 6,Jordan Soriano,73711,10 - 14,Drexel,Zeth Romney,73191
2023,11/12,Tiger Style Invite,141,L,DEC,3 - 2,Korbin Shepherd,72550,5 - 5,Missouri,Zeth Romney,73191
2023,11/12,Tiger Style Invite,141,W,DEC,8 - 3,Jaylen Carson,62839,1 - 7,Little Rock,Zeth Romney,73191
2023,11/05,Cal Poly - Cal Baptist Dual,141,W,FALL,1:55,Christian Nunez,63215,0 - 12,Cal Baptist,Zeth Romney,73191
2024,02/16,Cal Poly - Cal Baptist Dual,133,W,DEC,6 - 4,Spencer Von Savoye,82758,2 - 5,Cal Baptist,Ty Chandler,73187
